"32","187","9"
"89","139","10"
"78","139","3"
"65","39","4"
"3","57","4"
"99","136","4"
"56","32","6"
"50","104","1"
"74","28","9"
"9","131","5"
"35","11","3"
"59","77","8"
"1","25","3"
"8","138","4"
"10","12","1"
"13","15","4"
"5","114","2"
"56","187","5"
"95","27","5"
"20","32","6"
"88","98","1"
"0","94","4"
"71","126","9"
"59","73","4"
"13","38","2"
"39","78","9"
"55","117","10"
"62","46","5"
"49","133","10"
"46","194","9"
"65","29","4"
"58","109","7"
"64","148","5"
"34","132","5"
"83","60","1"
"39","46","6"
"43","127","5"
"24","194","10"
"28","163","3"
"53","137","5"
"5","24","9"
"2","57","6"
"53","53","2"
"48","43","10"
"82","30","9"
"25","73","9"
"53","190","8"
"55","173","4"
"97","23","1"
"71","80","10"
"41","6","8"
"50","151","5"
"77","63","8"
"89","148","10"
"20","57","10"
"78","94","9"
"23","24","6"
"70","134","6"
"49","106","10"
"58","94","1"
"11","20","8"
"83","73","4"
"93","133","8"
"78","136","8"
"64","155","5"
"66","177","4"
"55","21","10"
"79","56","8"
"91","12","4"
"15","165","6"
